Today	Hôm nay
Activity	Hoạt động
Sessions	Phiên đọc
Manual log	Ghi thủ công
Books	Sách
Notes	Ghi chú
Goals	Mục tiêu
Statistics	Thống kê
Year in Reading	Năm đọc sách
Settings	Cài đặ
Reading time	Thời gian đọc
Active books	Sách đang đọc
Active days	Ngày đọc
All sources	Mọi nguồn
Manual	Thủ công
Linked	Đã liên kế
All	Tất cả
All books	Tất cả sách
All notes	Tất cả ghi chú
All time	Toàn bộ thời gian
7 days	7 ngày
30 days	30 ngày
90 days	90 ngày
6 months	6 tháng
1 year	1 năm
This week	Tuần này
This month	Tháng này
This year	Năm nay
Last year	Năm trước
Custom	Tùy chỉnh
Off	Tắ
Previous period	Kỳ trước
Same period last year	Cùng kỳ năm trước
Auto	Tự động
Day	Ngày
Week	Tuần
Month	Tháng
Time	Thời gian
System	Theo hệ thống
English	Tiếng Anh
Light	Sáng
Dark	Tối
Newest	Mới nhấ
Oldest	Cũ nhấ
Longest	Dài nhấ
Shortest	Ngắn nhấ
Title	Tên sách
Active in range	Đọc trong kỳ
Currently reading	Đang đọc
Want to read	Muốn đọc
Finished this year	Hoàn thành năm nay
Paused	Tạm dừng
Physical books	Sách giấy
Readest books	Sách Reades
Without recent activity	Lâu chưa đọc
Incomplete metadata	Thiếu thông tin
Pinned	Đã ghim
Recently read	Đọc gần đây
Unspecified	Chưa xác định
Reading	Đang đọc
Finished	Đã đọc xong
Dropped	Đã ngừng đọc
Favorites	Yêu thích
Favorites only	Chỉ mục yêu thích
Selected book	Sách đã chọn
Visible notes	Ghi chú hiển thị
Readest highlights	Đoạn tô sáng Reades
Manual notes	Ghi chú thủ công
Ready	Sẵn sàng
Verified	Đã xác minh
Legacy backup	Bản sao lưu cũ
Unreadable	Không đọc được
Healthy	Tố
Mostly healthy	Tương đối tố
Needs attention	Cần kiểm tra
Passed	Đạ
Pass	Đạ
Attention	Cần kiểm tra
In progress	Đang thực hiện
Complete	Hoàn thành
On track	Đúng tiến độ
Ahead	Vượt tiến độ
Behind	Chậm tiến độ
No plan	Chưa có kế hoạch
Not enough data	Chưa đủ dữ liệu
Rest day	Ngày nghỉ
Skipped	Đã bỏ qua
Partial	Một phần
Missed	Chưa đạ
Reading time by source	Thời gian đọc theo nguồn
Monday	Thứ Hai
Tuesday	Thứ Ba
Wednesday	Thứ Tư
Thursday	Thứ Năm
Friday	Thứ Sáu
Saturday	Thứ Bảy
Sunday	Chủ nhậ
Mon	T2
Tue	T3
Wed	T4
Thu	T5
Fri	T6
Sat	T7
Sun	CN
M	T2
T	T3
W	T4
F	T6
S	T7
 to	 đến
to	đến
 active	 ngày đọc
 books	 cuốn sách
 days	 ngày
 periods · best streak 	 kỳ · chuỗi dài nhấ
All history · 	Toàn bộ lịch sử ·
12 MONTHS AT A GLANCE	TỔNG QUAN 12 THÁNG
24-HOUR SESSION TIMELINE	PHIÊN ĐỌC TRONG 24 GIỜ
24-hour reading clock	Đồng hồ đọc 24 giờ
365-day reading activity	Hoạt động đọc 365 ngày
90-day reading fingerprint	Nhịp đọc 90 ngày
A compact daily barcode where taller darker marks mean more active reading time.	Mỗi vạch là một ngày; vạch cao và đậm hơn biểu thị thời gian đọc nhiều hơn.
A focused timer for books away from Readest	Bấm giờ tập trung khi đọc sách giấy
A transparent rolling average smooths isolated daily spikes	Trung bình trượt giúp nhìn rõ xu hướng qua các ngày
A year of activity, with your current rhythm in focus	Một năm hoạt động, làm rõ nhịp đọc hiện tại
ABOUT	GIỚI THIỆU
ACTIVE BOOK PLANS	KẾ HOẠCH ĐANG THỰC HIỆN
ACTIVE READING	THỜI GIAN THỰC ĐỌC
ACTIVE TIME	THỜI GIAN THỰC ĐỌC
ACTUAL VS REQUIRED PACE	NHỊP ĐỌC THỰC TẾ VÀ CẦN ĐẠT
ADD A PHYSICAL BOOK	THÊM SÁCH GIẤY
APP DATABASE	DỮ LIỆU ỨNG DỤNG
ARCHIVED BOOKS	SÁCH ĐÃ LƯU TRỮ
Author	Tác giả
Average	Trung bình
AVG / ACTIVE DAY	TRUNG BÌNH / NGÀY ĐỌC
AVG SESSION	PHIÊN TRUNG BÌNH
Activity density	Mật độ hoạt động
Activity page	Trang hoạt động
Adaptive reading session distribution	Phân bố phiên đọc theo lượng dữ liệu
Adaptive session duration distribution	Phân bố thời lượng phiên đọc
Add a past session	Thêm phiên đã đọc
Add a physical book	Thêm sách giấy
Add a physical book · Readest Stats	Thêm sách giấy · Readest Stats
Add book	Thêm sách
Add past manual reading session	Ghi lại phiên đọc sách giấy
Add past session	Thêm phiên đã đọc
Add this book to the physical library	Thêm sách này vào thư viện sách giấy
Annual heatmap	Bản đồ hoạt động năm
Another	Ghi chú khác
Another from this book	Ghi chú khác từ sách này
Another random note	Ghi chú ngẫu nhiên khác
Another random note (Ctrl+N)	Ghi chú ngẫu nhiên khác (Ctrl+N)
Appearance	Giao diện
Application language	Ngôn ngữ ứng dụng
Archive selected	Lưu trữ sách đã chọn
Available	Có sẵn
BACKUP & RECOVERY CENTER	SAO LƯU VÀ KHÔI PHỤC
BEST READING DAYS	NHỮNG NGÀY ĐỌC NHIỀU NHẤT
Book	Sách
